Time,NS,UD,EW
34.128,40205.0,-88686.16267323494,-240649.0
34.132,72046.0,-57681.61000049114,-357503.0
34.136,59102.0,22181.90646636486,-418428.0
34.14,14026.0,131614.08723175526,-375256.0
34.144,1362.0,226511.61637496948,-215301.0
34.148,84480.0,255330.3377184868,21220.0
34.152,260412.0,193282.47330200672,249952.0
34.156,438036.0,66687.2350769043,379376.0
34.160000000000004,483064.0,-57827.63254702091,358553.0
34.164,308949.0,-116726.0971019268,208027.0
34.168,-46989.0,-91875.2229795456,9698.0
34.172000000000004,-427025.0,-18651.225511074066,-143560.0
34.176,-644613.0,42779.197890758514,-202373.0
34.18,-598303.0,50324.59750187397,-177907.0
34.184,-326304.0,8587.387659192085,-116102.0
34.188,25113.0,-37412.418618917465,-58512.0
34.192,286713.0,-41935.51206636429,-17051.0
34.196,354493.0,-720.1976214647293,28672.0
34.2,235946.0,43437.20072388649,108155.0
34.204,27455.0,39973.221425652504,219925.0
34.208,-157163.0,-22481.162549376488,315524.0
34.212,-248401.0,-105620.2712019682,339210.0
34.216,-238768.0,-149379.26235246658,281544.0
34.22,-168434.0,-108483.9355866909,176797.0
34.224000000000004,-94236.0,19209.17585861683,53785.0
34.228,-50681.0,178712.66810381413,-87628.0
34.232,-30413.0,277396.86834561825,-253101.0
34.236000000000004,-4599.0,242248.70057165623,-425815.0
34.24,43567.0,73779.24369478226,-559073.0
34.244,108435.0,-149531.59451520443,-584582.0
34.248,167327.0,-315652.97278892994,-443786.0
34.252,183578.0,-338567.6961091757,-141478.0
34.256,122954.0,-204016.93321943283,226116.0
34.26,-8501.0,19073.06842327118,514151.0
34.264,-149116.0,215795.1839324236,614788.0
34.268,-224125.0,295377.4717911482,515574.0
34.272,-205706.0,242844.50861644745,297897.0
34.276,-128320.0,114322.13332664967,86856.0
34.28,-56726.0,-8845.18054997921,-21679.0
34.284,-41403.0,-68351.17100834846,-12516.0
34.288000000000004,-83920.0,-56780.23625648022,59578.0
34.292,-133868.0,-13402.526199698448,122074.0
34.296,-133013.0,13087.045389294624,121114.0
34.300000000000004,-71012.0,4995.413289308548,33643.0
34.304,8742.0,-19487.700345516205,-117659.0
34.308,55180.0,-34421.660536289215,-261680.0
34.312,50875.0,-31055.93097615242,-321496.0
34.316,15906.0,-20382.764473319054,-273303.0
34.32,-10989.0,-21583.394300341606,-159108.0
34.324,2512.0,-45682.522720217705,-45515.0
34.328,57735.0,-81266.95538628101,27665.0
34.332,118924.0,-96171.17024350166,74538.0
34.336,138059.0,-59613.253933906555,149427.0
34.34,90502.0,33813.23325908184,289754.0
34.344,-8002.0,157214.00293540955,458140.0
34.348,-108617.0,260451.94333195686,552110.0
34.352000000000004,-152460.0,288667.64564073086,484326.0
34.356,-103807.0,211007.08660423756,251701.0
34.36,20978.0,51298.98251914978,-68334.0
34.364,156310.0,-108790.40265965462,-364641.0
34.368,228525.0,-175611.04105067253,-528443.0
34.372,199891.0,-110505.71689450741,-484025.0
34.376,79782.0,42556.558575987816,-236966.0
34.38,-89019.0,192365.7762043476,98927.0
34.384,-245904.0,261490.32588505745,353886.0
34.388,-331862.0,225484.95168054104,410407.0
34.392,-315025.0,114930.56060385704,275889.0
34.396,-202183.0,-10838.117897987366,61494.0
34.4,-29008.0,-101298.1840994358,-108230.0
34.404,151798.0,-142087.1487634182,-178144.0
34.408,278010.0,-154439.57455134392,-172655.0
34.412,294884.0,-167100.27015972137,-138966.0
34.416000000000004,180220.0,-184801.44774460793,-93224.0
34.42,-40742.0,-183814.44349491596,-20605.0
34.424,-296974.0,-139756.19626140594,90175.0
34.428,-488640.0,-58505.46560251713,223235.0
34.432,-525267.0,21906.086100697517,337642.0
34.436,-375003.0,57885.32046663761,387712.0
34.44,-86477.0,28168.830874085426,350869.0
34.444,237982.0,-54918.899475097656,240069.0
34.448,491100.0,-148966.43317770958,83192.0
34.452,597314.0,-198515.84925973415,-102994.0
34.456,531586.0,-165649.9598056078,-302869.0
34.46,322191.0,-56498.1062746048,-472435.0
34.464,33962.0,79180.27516889572,-544008.0
34.468,-256645.0,173743.3946530819,-470329.0
34.472,-475704.0,172850.13327276707,-261375.0
34.476,-561000.0,60606.567799806595,12855.0
34.480000000000004,-484748.0,-124307.5516628027,243556.0
34.484,-276788.0,-294506.74475443363,325158.0
34.488,-14093.0,-356748.40452587605,218376.0
34.492,220609.0,-274490.839394927,-6672.0
34.496,369806.0,-98607.5834735632,-202791.0
34.5,404405.0,66530.3960454464,-241625.0
34.504,321741.0,135335.85942077637,-94309.0
34.508,151340.0,93100.18989765644,161276.0
34.512,-46740.0,-7851.86668407917,397592.0
34.516,-202121.0,-95547.4196126461,510719.0
34.52,-264294.0,-126425.77996122837,462440.0
34.524,-226760.0,-101439.69977724552,275768.0
34.528,-130085.0,-49743.21143698692,9578.0
34.532000000000004,-36375.0,1255.613625407219,-258821.0
34.536,13323.0,46782.19868791103,-447456.0
34.54,27872.0,97630.49433505535,-495076.0
